location,continent,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita
Argentina,South America,5185585.745257452,8592.77758768178,13807351.844827589,70675471.97044335,30656967.226600982,14867306.922413792,53.45413953488372,16.177,18933.907
Bermuda,North America,7384.539377289378,16.106073567151412,15191.454545454546,77902.60294117648,35843.98333333333,27257.85,40.83536744186046,1308.82,50669.315
Brazil,South America,19177980.654398564,31888.300085984523,34192178.00554017,289941483.7056277,134173757.24528302,74330175.34657836,49.49085581395349,25.04,14103.452
Canada,North America,1983910.72513089,3963.268271711092,28939633.346522786,59483811.896103896,25085427.07072136,12421030.08910891,51.294046511627904,4.037,44017.591
China,Asia,8328192.207191781,84918.71489726027,3154666666.6666665,2522480202.798233,1258064782.6086955,663345904.7619047,71.47002790697674,147.674,15308.711999999998
Colombia,South America,3850544.846781505,5486.204134366925,17041000.67471591,38961688.82028986,22647196.584837545,8198852.777777778,51.64713488372093,44.223,13254.949
Fiji,Oceania,34050.07502287283,58.93755346449957,125473.14604810996,1176715.06,594333.8484848485,155474.88,55.07908837209302,49.562,8702.975
France,Europe,13733815.917247389,33036.209760273974,108493422.25684483,105161051.88929889,43441018.9901599,24129357.1596424,43.09853953488372,122.578,38605.671
Germany,Europe,11985808.543664385,32770.71061643836,56176681.18644068,130339400.06642066,51784894.87330873,39057159.87740029,46.97628837209302,237.016,45229.245
Greenland,North America,4787.0676416819015,10.240376390076989,,47799.023255813954,27330.65625,,31.381627906976743,0.137,
India,Asia,25743655.98336252,38362.841201716736,366022136.2728395,1353358173.8678756,721414637.599741,124840181.37470166,58.99558139534884,450.419,6426.674
Italy,Europe,8963221.797025371,22035.660361135,74616634.26266195,98038536.37960687,40089028.03931204,34314141.577617325,53.30565581395349,205.859,35220.084
Japan,Asia,6507961.121761658,28541.932363013697,15507505.869515011,220891440.1646424,83399760.76788124,91800076.1656051,41.10778604651163,347.778,39002.223
Kiribati,Oceania,3387.3981042654027,4.289136013686912,,113137.57692307692,64790.65384615384,17417.636363636364,25.68580465116279,143.701,1981.132
Malaysia,Asia,2098105.032286213,4326.922813036021,19369939.835990887,51489384.25165563,21713383.8397351,12745498.849823322,50.09556279069768,96.254,26808.164
Mauritius,Africa,101172.64958828912,253.24379811804965,974974.3333333334,1845963.677419355,831553.4333333333,608390.9375,34.9762976744186,622.962,20292.745
Mexico,North America,3628329.649687221,6419.976863753213,6365760.998888889,80852333.27228916,45943680.76600985,52594355.73913044,45.11731162790698,66.444,17336.469
Morocco,Africa,730245.2855855856,1088.5594525235244,5200850.776,27463715.265232977,14945799.748091605,6516366.619047619,54.84648372093023,80.08,7485.013000000001
New Zealand,Oceania,534046.7475292004,1875.327615780446,2172494.3943217667,7704209.390309555,3170522.790040377,1730500.3705799151,35.50019534883721,18.206,36085.843
Paraguay,South America,391574.04533091566,629.3917878528657,1021678.6787634408,2897029.356321839,1422260.3185483871,1305732.4833333334,44.5332,17.144,8827.01
Peru,South America,2283533.458823529,3842.6875,11343546.385674931,51994825.4746424,20879313.054616384,18218136.458733205,54.66253953488373,25.129,12236.706
Singapore,Asia,642022.4886759582,1920.0996563573883,,9434198.206015036,4031822.496062992,3184003.14004914,44.18006511627907,7915.730999999999,85535.383
South Africa,Africa,2384745.8318264014,3492.037768240343,11533898.280487806,24970483.52443609,15505730.444874275,3062037.9669967,44.712,46.754,12294.876
Spain,Europe,6203411.952627046,11837.170962199312,41747828.21212121,54399016.985250734,27329762.102040816,16173859.829931973,46.3124,93.105,34272.36
Tanzania,Africa,18898.804566210045,36.72112917023097,441724.5,15923514.055555556,14565393.303030305,7171363.0,15.188846511627908,64.699,2683.304
Tokelau,Oceania,5.0,0.0042771599657827,,2372.125,1158.0,932.6666666666666,,,
Tonga,Oceania,10123.111332007951,14.381522668947818,,108577.56410256412,56519.256410256414,35485.818181818184,46.49618604651163,150.028,5425.621
Uganda,Africa,96213.3752293578,146.02140410958904,1077752.74068323,5301589.963768116,5133156.670103093,241185.1,54.80951627906977,213.759,1697.707
United Kingdom,Europe,10765421.75877193,21000.340498710237,185604641.1799486,100736230.53731345,44615350.76190476,32309665.06764706,43.89986976744186,272.898,39753.244
United States,North America,46671168.39322917,87987.95962199313,410386446.7011905,457671611.16909975,210224881.88321167,53831729.09913044,49.372,35.608,54225.446
