location,continent,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita
Afghanistan,Asia,117640.42256042972,179.45462328767124,924645.2,6810866.42,6292071.510416667,647014.5714285715,27.92973023255814,54.422,1803.9870000000003
Albania,Europe,169539.69537624661,285.39093242087256,559644.2569444445,1371699.1263537905,840471.8214285715,203666.7125,42.59831627906977,104.871,11803.431
Algeria,Africa,165353.66816143497,232.26860564585115,230553.0,10657044.857142856,5908922.444444444,355090.2727272727,52.924297674418604,17.348,13913.839
American Samoa,Oceania,4924.36580882353,7.1171941830624466,,,,,,278.205,
Andorra,Europe,22404.729486023443,40.97348160821215,181496.1447368421,85780.8813559322,41476.11111111111,38065.47619047619,34.087720930232564,163.755,
Angola,Africa,56130.70240295749,90.07527801539777,1428346.1,10979335.923913043,7064925.06741573,943651.21875,52.208818604651164,23.89,5819.495
Anguilla,North America,1480.1400921658985,3.339606501283148,41519.0,18609.926470588234,9271.492537313432,2452.551724137931,,,
Antigua and Barbuda,North America,3977.3181403828626,7.803082191780822,7826.583333333333,78766.18947368421,44326.14893617021,9838.0,,231.845,21490.943
Argentina,South America,5185585.745257452,8592.77758768178,13807351.844827587,70675471.97044335,30656967.226600986,14867306.922413792,53.454139534883716,16.177,18933.907
Armenia,Asia,260050.52342342344,383.043627031651,1187205.780167264,951679.875,536917.6888888889,19846.928571428572,,102.931,8787.58
Aruba,North America,20340.33668801464,37.78681506849315,579.0,155316.54191033138,81721.33791748526,,38.997497674418604,584.8,35973.781
Australia,Oceania,3081587.9136878815,9735.41488451668,26907363.238663483,34070215.97644927,12609079.587804878,10534167.547337279,48.11901395348838,3.202,44648.71
Austria,Europe,2012892.8430493274,5120.791095890411,61916210.08787129,13655723.473214285,5508864.473214285,3083665.211009174,50.03847441860465,106.749,45436.686
Azerbaijan,Asia,448134.57823741005,709.1625320786998,4821270.412017168,8372882.847619047,3852063.479115479,2360386.4,61.05645581395349,119.309,15847.419
Bahamas,North America,19861.503196347032,32.07100085543199,192901.84732824427,209728.45454545456,109453.04918032787,27114.36,56.860241860465116,39.497,27717.847
Bahrain,Asia,323254.0376007162,595.9059024807527,3694617.4676375403,2582541.230490018,989425.8528428094,975773.9831932773,39.3582511627907,1935.907,43290.705
Bangladesh,Asia,1198943.4030797102,1743.3250641573995,5820977.767253045,128601787.21203439,65759505.77808989,33704126.854166664,50.94444651162791,1265.036,3523.984
Barbados,North America,36764.18555758684,91.35842600513259,632558.4166666666,238156.4097744361,128505.02290076336,62164.5,48.7778511627907,664.463,16978.068
Belarus,Europe,539269.3003597122,850.3310521813515,5623762.896057348,7987020.859375,3738390.4032258065,2035202.6923076923,23.815069767441862,46.858,17167.967
Belgium,Europe,2034692.9621811786,4054.2044482463643,14326721.902497027,19076702.433915213,7466983.354114713,7270825.118829981,40.828595348837204,375.564,42658.576
Belize,North America,31771.910763569456,60.64212328767123,296181.9464285714,256661.18902439025,147019.92073170733,48093.520833333336,48.951851162790696,16.426,7824.361999999999
Benin,Africa,15622.086757990868,23.95124037639008,604310.0,1803755.5714285714,1624945.15,,32.20386046511628,99.11,2064.236
Bermuda,North America,7384.539377289378,16.106073567151412,15191.454545454546,77902.60294117648,35843.98333333333,27257.85,40.83536744186046,1308.82,50669.315
Bhutan,Asia,20596.47377938517,53.62842465753425,553550.3948717949,943376.4809160306,532536.928,555673.6153846154,52.04760930232558,21.188,8708.597
Bolivia,South America,556417.5109090909,1021.9734816082122,1652665.1447852761,8518640.169463087,4745856.055369128,1233138.5571030641,43.119106976744185,10.202,6885.829
Bonaire Sint Eustatius and Saba,North America,4693.003707136238,10.140531276778063,,21618.0,12417.5,,,,
Bosnia and Herzegovina,Europe,225948.33333333334,343.81009409751925,626761.8742268041,677503.2,449873.8181818182,71551.0,39.438372093023254,68.496,11713.895
Botswana,Africa,162480.59111933396,282.0949529512404,792510.6585365854,1108064.5405405406,668283.9583333334,387479.2083333333,37.09516279069768,4.044,15807.374
Brazil,South America,19177980.654398564,31888.300085984523,34192178.00554017,289941483.7056277,134173757.24528302,74330175.34657836,49.49085581395349,25.04,14103.452
British Virgin Islands,North America,3216.457142857143,6.248930710008555,96630.0,33478.020833333336,17415.297872340427,3726.0,,207.973,
Brunei,Asia,75016.90834845735,241.0513698630137,92899.33333333333,449043.0256410256,228318.59487179486,305697.95652173914,40.102213953488366,81.347,71809.251
Bulgaria,Europe,626277.919384058,1111.3125,2658262.536723164,3129485.446091644,714467.6653061224,627434.8162162162,36.8741023255814,65.18,18563.307
Burkina Faso,Africa,13370.821234119781,18.867408041060735,313235.4117647059,1735872.7567567567,1498276.794117647,,20.89527441860465,70.151,1703.102
Burundi,Africa,21919.175,45.90333618477331,1430466.2564102565,14759.781818181818,13549.285714285714,105.81481481481481,16.159572093023257,423.062,702.225
Cambodia,Asia,70172.93356643357,118.6655260906758,2021257.1868131869,20019025.558558557,9462736.146929825,3760173.202586207,46.12175813953488,90.672,3645.07
Cameroon,Africa,76846.0814479638,106.59110350727117,2620328.0,1132515.1710526317,774095.0138888889,225993.9090909091,32.15798139534884,50.885,3364.926
Canada,North America,1983910.72513089,3963.268271711092,28939633.346522782,59483811.896103896,25085427.070721358,12421030.08910891,51.294046511627904,4.037,44017.591
Cape Verde,Africa,34731.854395604394,54.10179640718563,,434532.1076923077,237051.70491803277,346.1111111111111,47.465348837209305,135.58,6222.554
Cayman Islands,North America,11095.073770491803,26.922155688622755,5501.0,93023.88888888889,45932.0,23480.31818181818,,256.496,49903.029
Central African Republic,Africa,10120.281306715064,13.145423438836612,87644.5294117647,999466.3818181818,1048847.3125,175347.22222222222,24.370427906976744,7.479000000000001,661.24
Chad,Africa,4811.557692307692,6.571428571428571,207780.45454545456,1255037.3275862068,1208975.5,1941039.6,36.82133023255814,11.833,1768.153
Chile,South America,2143365.459532374,4459.890410958904,15440941.120731708,40628281.49473684,14627146.967105264,17841802.750458717,52.39076279069767,24.282,22767.037
China,Asia,8328192.207191781,84918.71489726027,3154666666.6666665,2522480202.7982326,1258064782.6086957,663345904.7619047,71.47002790697674,147.674,15308.711999999998
Colombia,South America,3850544.846781505,5486.204134366925,17041000.67471591,38961688.82028986,22647196.584837545,8198852.777777778,51.64713488372093,44.223,13254.949
Comoros,Africa,4927.65619047619,7.73994867408041,53258.0,373026.64705882355,226787.26666666666,,,437.352,1413.89
Congo,Africa,14920.417502278942,21.479897348160822,391523.0,423502.4736842105,330930.1666666667,,44.38142325581395,15.405,4881.406
Cook Islands,Oceania,5435.245569620253,6.016253207869974,,25885.333333333332,12634.592592592593,10139.833333333334,,,
Costa Rica,North America,532215.0018115942,1043.5146048109966,1178645.780368098,5835536.010989011,2722286.5164835164,1548564.4888888889,44.153079069767436,96.079,15524.995
Cote d'Ivoire,Africa,53154.99727767695,75.51497005988024,559640.0045454545,2629470.163090129,1726667.168539326,1198480.125,25.362353488372094,76.399,3601.0059999999994
Croatia,Europe,587208.8826164874,1088.9253859348198,1514374.4107424961,4088287.527522936,1927496.947204969,594785.0,34.2264,73.726,22669.797
Cuba,North America,575852.1665150137,951.8109495295124,1525564.7468085107,31520300.242424242,9137101.023294508,7224583.012658228,49.42787906976744,110.408,
Curacao,North America,21420.71741112124,39.20205479452055,12647.333333333334,206805.44394618834,98026.33856502242,42493.6974789916,,362.644,
Cyprus,Europe,233959.25862068965,560.950988822012,7851153.921122994,1041418.4917127072,480831.75925925927,270323.6712328767,46.5234511627907,127.657,32415.131999999998
Czechia,Europe,2238159.191891892,3958.285102739726,25601244.952127658,13007317.607407408,5567232.9679012345,3087323.3,40.25862325581395,137.176,32605.906
Democratic Republic of Congo,Africa,52402.870118074476,81.96236099230111,1008171.0,1506178.1285714286,1504642.9692307692,,38.1632,35.879,808.133
