Year,san_sm,san_bas_minus_sm,san_lim,san_unimp,san_od
2000,48.69,24.84,5.31,10.0,11.15
2001,48.73,25.19,5.36,10.01,10.7
2002,49.34,25.17,5.39,9.78,10.32
2003,49.78,25.13,5.46,9.63,10.01
2004,50.3,25.02,5.51,9.47,9.71
2005,50.6,25.31,5.49,9.22,9.39
2006,50.98,25.62,5.46,8.97,8.96
2007,51.58,25.49,5.46,8.77,8.69
2008,51.96,25.7,5.48,8.52,8.34
2009,52.86,25.44,5.45,8.27,7.98
2010,53.56,25.22,5.45,8.08,7.7
2011,54.26,24.98,5.45,7.89,7.42
2012,54.97,24.74,5.45,7.7,7.14
2013,55.61,24.55,5.45,7.52,6.87
2014,56.25,24.35,5.45,7.34,6.6
2015,56.94,24.0,5.48,7.21,6.36
2016,57.6,23.78,5.49,7.05,6.09
2017,58.1,23.56,5.53,6.94,5.87
2018,58.48,23.46,5.58,6.83,5.65
2019,59.57,22.65,5.62,6.76,5.42
2020,60.26,22.18,5.64,6.69,5.23
