Year,DeathRate
1990,39.27078048780488
1991,38.39239024390244
1992,37.41531707317073
1993,36.56926829268293
1994,36.42463414634146
1995,34.88643902439024
1996,33.63419512195122
1997,32.23643902439024
1998,30.918341463414635
1999,29.632878048780487
2000,28.478048780487804
2001,27.019317073170733
2002,25.659024390243903
2003,24.27692682926829
2004,23.143951219512196
2005,22.20282926829268
2006,21.36307317073171
2007,20.40521951219512
2008,19.551268292682927
2009,18.712926829268294
2010,17.87741463414634
2011,17.194146341463416
2012,16.300682926829268
2013,15.715756097560975
2014,15.131024390243903
2015,14.557853658536587
2016,14.021121951219511
2017,13.547170731707318
2018,12.776536585365854
2019,12.150585365853658
